Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
450,148,450-148,Marrow - Sandstone Ranch,Retaining Wall South,Shipping completed,COMPLETE,,,X,X
450,700,450-700,Marrow - Sandstone Ranch,Structural Steel,Shipping completed,COMPLETE,X,0.8,X,X
450,747,450-747,Marrow - Sandstone Ranch,Bld A Stair #3,Shipping completed,COMPLETE,X,M,X,X
450,752,450-752,Marrow - Sandstone Ranch,Elevator Misc. Metal,Shipping completed,COMPLETE,O,M,X,X
450,759,450-759,Marrow - Sandstone Ranch,Bld A Stair #2,Shipping completed,COMPLETE,X,M,X,X
450,760,450-760,Marrow - Sandstone Ranch,Bld A Stair #1,Shipping completed,COMPLETE,X,M,X,X
450,810,450-810,Marrow - Sandstone Ranch,Bld B Stair #1,Shipping completed,COMPLETE,,,X,X
450,811,450-811,Marrow - Sandstone Ranch,Bld B Stair #2,Shipping completed,COMPLETE,,,X,X
450,812,450-812,Marrow - Sandstone Ranch,Bld B Stair #3,Shipping completed,COMPLETE,,,X,X
450,813,450-813,Marrow - Sandstone Ranch,Bld C Stair #1,Shipping completed,COMPLETE,,,X,X
450,814,450-814,Marrow - Sandstone Ranch,Bld C Stair #2,Shipping completed,COMPLETE,,,X,X
450,815,450-815,Marrow - Sandstone Ranch,Bld C Stair #3,Shipping completed,COMPLETE,,,X,X
450,816,450-816,Marrow - Sandstone Ranch,Bld D Stair #1,Shipping completed,COMPLETE,,,X,X
450,817,450-817,Marrow - Sandstone Ranch,Bld D Stair #2,Shipping completed,COMPLETE,,,X,X
460,191,460-191,Mountain West Contractors - Dublin Springs,Balcony Bottom Saddles Stack 24.xls,Shipping completed,COMPLETE,,,X,X
460,862,460-862,Mountain West Contractors - Dublin Springs,Standpipe & Cane Detection,Shipping completed,COMPLETE,,,X,X
460,902,460-902,Mountain West Contractors - Dublin Springs,Interior Handgrabs,Shipping completed,COMPLETE,,,X,X
470,150,470-150,Bryan Construction - Olde Course Maintenance,Stair To Mezzanine,Shipping completed,COMPLETE,,,X,X
470,346,470-346,Bryan Construction - Olde Course Maintenance,Freestanding Handrail At Concrete Stairs,Shipping completed,COMPLETE,,,X,X
